series_id,date,value,realtime_start,realtime_end
CSUSHPINSA,1975-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1975-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1976-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1977-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1978-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1979-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1980-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1981-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1982-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1983-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1984-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1985-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-01-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-02-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-03-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-04-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-05-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-06-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-07-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-08-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-09-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-10-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-11-01,,2026-04-28,2026-04-28
CSUSHPINSA,1986-12-01,,2026-04-28,2026-04-28
CSUSHPINSA,1987-01-01,63.732,2026-04-28,2026-04-28
CSUSHPINSA,1987-02-01,64.132,2026-04-28,2026-04-28
CSUSHPINSA,1987-03-01,64.467,2026-04-28,2026-04-28
CSUSHPINSA,1987-04-01,64.972,2026-04-28,2026-04-28
CSUSHPINSA,1987-05-01,65.547,2026-04-28,2026-04-28
CSUSHPINSA,1987-06-01,66.218,2026-04-28,2026-04-28
CSUSHPINSA,1987-07-01,66.786,2026-04-28,2026-04-28
CSUSHPINSA,1987-08-01,67.27,2026-04-28,2026-04-28
CSUSHPINSA,1987-09-01,67.623,2026-04-28,2026-04-28
CSUSHPINSA,1987-10-01,67.902,2026-04-28,2026-04-28
CSUSHPINSA,1987-11-01,68.091,2026-04-28,2026-04-28
CSUSHPINSA,1987-12-01,68.343,2026-04-28,2026-04-28
CSUSHPINSA,1988-01-01,68.583,2026-04-28,2026-04-28
CSUSHPINSA,1988-02-01,68.917,2026-04-28,2026-04-28
CSUSHPINSA,1988-03-01,69.326,2026-04-28,2026-04-28
