series_id,date,value,realtime_start,realtime_end
CUSR0000SAH1,1953-01-01,21.7,2026-04-29,2026-04-29
CUSR0000SAH1,1953-02-01,21.8,2026-04-29,2026-04-29
CUSR0000SAH1,1953-03-01,21.8,2026-04-29,2026-04-29
CUSR0000SAH1,1953-04-01,21.9,2026-04-29,2026-04-29
CUSR0000SAH1,1953-05-01,21.9,2026-04-29,2026-04-29
CUSR0000SAH1,1953-06-01,21.9,2026-04-29,2026-04-29
CUSR0000SAH1,1953-07-01,22.0,2026-04-29,2026-04-29
CUSR0000SAH1,1953-08-01,22.0,2026-04-29,2026-04-29
CUSR0000SAH1,1953-09-01,22.1,2026-04-29,2026-04-29
CUSR0000SAH1,1953-10-01,22.2,2026-04-29,2026-04-29
CUSR0000SAH1,1953-11-01,22.2,2026-04-29,2026-04-29
CUSR0000SAH1,1953-12-01,22.3,2026-04-29,2026-04-29
CUSR0000SAH1,1954-01-01,22.3,2026-04-29,2026-04-29
CUSR0000SAH1,1954-02-01,22.3,2026-04-29,2026-04-29
CUSR0000SAH1,1954-03-01,22.4,2026-04-29,2026-04-29
CUSR0000SAH1,1954-04-01,22.4,2026-04-29,2026-04-29
CUSR0000SAH1,1954-05-01,22.5,2026-04-29,2026-04-29
CUSR0000SAH1,1954-06-01,22.5,2026-04-29,2026-04-29
CUSR0000SAH1,1954-07-01,22.5,2026-04-29,2026-04-29
CUSR0000SAH1,1954-08-01,22.5,2026-04-29,2026-04-29
CUSR0000SAH1,1954-09-01,22.6,2026-04-29,2026-04-29
CUSR0000SAH1,1954-10-01,22.6,2026-04-29,2026-04-29
CUSR0000SAH1,1954-11-01,22.6,2026-04-29,2026-04-29
CUSR0000SAH1,1954-12-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-01-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-02-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-03-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-04-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-05-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-06-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-07-01,22.7,2026-04-29,2026-04-29
CUSR0000SAH1,1955-08-01,22.8,2026-04-29,2026-04-29
CUSR0000SAH1,1955-09-01,22.8,2026-04-29,2026-04-29
CUSR0000SAH1,1955-10-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1955-11-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1955-12-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-01-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-02-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-03-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-04-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-05-01,22.9,2026-04-29,2026-04-29
CUSR0000SAH1,1956-06-01,23.1,2026-04-29,2026-04-29
CUSR0000SAH1,1956-07-01,23.2,2026-04-29,2026-04-29
CUSR0000SAH1,1956-08-01,23.3,2026-04-29,2026-04-29
CUSR0000SAH1,1956-09-01,23.3,2026-04-29,2026-04-29
CUSR0000SAH1,1956-10-01,23.3,2026-04-29,2026-04-29
CUSR0000SAH1,1956-11-01,23.3,2026-04-29,2026-04-29
CUSR0000SAH1,1956-12-01,23.5,2026-04-29,2026-04-29
CUSR0000SAH1,1957-01-01,23.5,2026-04-29,2026-04-29
CUSR0000SAH1,1957-02-01,23.7,2026-04-29,2026-04-29
CUSR0000SAH1,1957-03-01,23.8,2026-04-29,2026-04-29
CUSR0000SAH1,1957-04-01,23.9,2026-04-29,2026-04-29
CUSR0000SAH1,1957-05-01,23.9,2026-04-29,2026-04-29
CUSR0000SAH1,1957-06-01,23.9,2026-04-29,2026-04-29
CUSR0000SAH1,1957-07-01,24.0,2026-04-29,2026-04-29
CUSR0000SAH1,1957-08-01,24.0,2026-04-29,2026-04-29
CUSR0000SAH1,1957-09-01,24.1,2026-04-29,2026-04-29
CUSR0000SAH1,1957-10-01,24.2,2026-04-29,2026-04-29
CUSR0000SAH1,1957-11-01,24.2,2026-04-29,2026-04-29
CUSR0000SAH1,1957-12-01,24.3,2026-04-29,2026-04-29
CUSR0000SAH1,1958-01-01,24.3,2026-04-29,2026-04-29
CUSR0000SAH1,1958-02-01,24.4,2026-04-29,2026-04-29
CUSR0000SAH1,1958-03-01,24.4,2026-04-29,2026-04-29
CUSR0000SAH1,1958-04-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-05-01,24.6,2026-04-29,2026-04-29
CUSR0000SAH1,1958-06-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-07-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-08-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-09-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-10-01,24.4,2026-04-29,2026-04-29
CUSR0000SAH1,1958-11-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1958-12-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1959-01-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1959-02-01,24.5,2026-04-29,2026-04-29
CUSR0000SAH1,1959-03-01,24.6,2026-04-29,2026-04-29
CUSR0000SAH1,1959-04-01,24.6,2026-04-29,2026-04-29
CUSR0000SAH1,1959-05-01,24.7,2026-04-29,2026-04-29
CUSR0000SAH1,1959-06-01,24.7,2026-04-29,2026-04-29
CUSR0000SAH1,1959-07-01,24.7,2026-04-29,2026-04-29
CUSR0000SAH1,1959-08-01,24.8,2026-04-29,2026-04-29
CUSR0000SAH1,1959-09-01,24.8,2026-04-29,2026-04-29
CUSR0000SAH1,1959-10-01,24.9,2026-04-29,2026-04-29
CUSR0000SAH1,1959-11-01,25.0,2026-04-29,2026-04-29
CUSR0000SAH1,1959-12-01,25.0,2026-04-29,2026-04-29
CUSR0000SAH1,1960-01-01,25.0,2026-04-29,2026-04-29
CUSR0000SAH1,1960-02-01,25.1,2026-04-29,2026-04-29
CUSR0000SAH1,1960-03-01,25.1,2026-04-29,2026-04-29
CUSR0000SAH1,1960-04-01,25.2,2026-04-29,2026-04-29
CUSR0000SAH1,1960-05-01,25.2,2026-04-29,2026-04-29
CUSR0000SAH1,1960-06-01,25.2,2026-04-29,2026-04-29
CUSR0000SAH1,1960-07-01,25.2,2026-04-29,2026-04-29
CUSR0000SAH1,1960-08-01,25.3,2026-04-29,2026-04-29
CUSR0000SAH1,1960-09-01,25.3,2026-04-29,2026-04-29
CUSR0000SAH1,1960-10-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1960-11-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1960-12-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-01-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-02-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-03-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-04-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-05-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-06-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-07-01,25.5,2026-04-29,2026-04-29
CUSR0000SAH1,1961-08-01,25.4,2026-04-29,2026-04-29
CUSR0000SAH1,1961-09-01,25.5,2026-04-29,2026-04-29
CUSR0000SAH1,1961-10-01,25.5,2026-04-29,2026-04-29
CUSR0000SAH1,1961-11-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1961-12-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1962-01-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1962-02-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1962-03-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1962-04-01,25.6,2026-04-29,2026-04-29
CUSR0000SAH1,1962-05-01,25.7,2026-04-29,2026-04-29
CUSR0000SAH1,1962-06-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-07-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-08-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-09-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-10-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-11-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1962-12-01,25.8,2026-04-29,2026-04-29
CUSR0000SAH1,1963-01-01,25.9,2026-04-29,2026-04-29
CUSR0000SAH1,1963-02-01,25.9,2026-04-29,2026-04-29
CUSR0000SAH1,1963-03-01,26.0,2026-04-29,2026-04-29
CUSR0000SAH1,1963-04-01,26.0,2026-04-29,2026-04-29
CUSR0000SAH1,1963-05-01,26.0,2026-04-29,2026-04-29
CUSR0000SAH1,1963-06-01,26.0,2026-04-29,2026-04-29
CUSR0000SAH1,1963-07-01,26.1,2026-04-29,2026-04-29
CUSR0000SAH1,1963-08-01,26.1,2026-04-29,2026-04-29
CUSR0000SAH1,1963-09-01,26.1,2026-04-29,2026-04-29
CUSR0000SAH1,1963-10-01,26.2,2026-04-29,2026-04-29
CUSR0000SAH1,1963-11-01,26.2,2026-04-29,2026-04-29
CUSR0000SAH1,1963-12-01,26.3,2026-04-29,2026-04-29
CUSR0000SAH1,1964-01-01,26.3,2026-04-29,2026-04-29
CUSR0000SAH1,1964-02-01,26.4,2026-04-29,2026-04-29
CUSR0000SAH1,1964-03-01,26.4,2026-04-29,2026-04-29
CUSR0000SAH1,1964-04-01,26.4,2026-04-29,2026-04-29
CUSR0000SAH1,1964-05-01,26.4,2026-04-29,2026-04-29
CUSR0000SAH1,1964-06-01,26.4,2026-04-29,2026-04-29
CUSR0000SAH1,1964-07-01,26.5,2026-04-29,2026-04-29
CUSR0000SAH1,1964-08-01,26.5,2026-04-29,2026-04-29
CUSR0000SAH1,1964-09-01,26.6,2026-04-29,2026-04-29
CUSR0000SAH1,1964-10-01,26.6,2026-04-29,2026-04-29
CUSR0000SAH1,1964-11-01,26.7,2026-04-29,2026-04-29
CUSR0000SAH1,1964-12-01,26.7,2026-04-29,2026-04-29
CUSR0000SAH1,1965-01-01,26.8,2026-04-29,2026-04-29
CUSR0000SAH1,1965-02-01,26.9,2026-04-29,2026-04-29
CUSR0000SAH1,1965-03-01,26.9,2026-04-29,2026-04-29
CUSR0000SAH1,1965-04-01,26.9,2026-04-29,2026-04-29
CUSR0000SAH1,1965-05-01,26.9,2026-04-29,2026-04-29
CUSR0000SAH1,1965-06-01,26.9,2026-04-29,2026-04-29
CUSR0000SAH1,1965-07-01,27.0,2026-04-29,2026-04-29
CUSR0000SAH1,1965-08-01,27.0,2026-04-29,2026-04-29
CUSR0000SAH1,1965-09-01,27.0,2026-04-29,2026-04-29
CUSR0000SAH1,1965-10-01,27.1,2026-04-29,2026-04-29
CUSR0000SAH1,1965-11-01,27.2,2026-04-29,2026-04-29
CUSR0000SAH1,1965-12-01,27.2,2026-04-29,2026-04-29
CUSR0000SAH1,1966-01-01,27.3,2026-04-29,2026-04-29
CUSR0000SAH1,1966-02-01,27.3,2026-04-29,2026-04-29
CUSR0000SAH1,1966-03-01,27.4,2026-04-29,2026-04-29
CUSR0000SAH1,1966-04-01,27.6,2026-04-29,2026-04-29
CUSR0000SAH1,1966-05-01,27.7,2026-04-29,2026-04-29
CUSR0000SAH1,1966-06-01,27.9,2026-04-29,2026-04-29
CUSR0000SAH1,1966-07-01,27.9,2026-04-29,2026-04-29
CUSR0000SAH1,1966-08-01,27.9,2026-04-29,2026-04-29
CUSR0000SAH1,1966-09-01,28.0,2026-04-29,2026-04-29
CUSR0000SAH1,1966-10-01,28.2,2026-04-29,2026-04-29
CUSR0000SAH1,1966-11-01,28.2,2026-04-29,2026-04-29
CUSR0000SAH1,1966-12-01,28.3,2026-04-29,2026-04-29
CUSR0000SAH1,1967-01-01,28.4,2026-04-29,2026-04-29
CUSR0000SAH1,1967-02-01,28.5,2026-04-29,2026-04-29
CUSR0000SAH1,1967-03-01,28.4,2026-04-29,2026-04-29
CUSR0000SAH1,1967-04-01,28.5,2026-04-29,2026-04-29
CUSR0000SAH1,1967-05-01,28.6,2026-04-29,2026-04-29
CUSR0000SAH1,1967-06-01,28.7,2026-04-29,2026-04-29
